StudyID,MasterListNumber,FullTextExtraction_Number,longDBName,Year,title,Data Source,Year_Data,Country,Design,Age_Group,SampleSize,AgeMean,AgeSD,PercentFemale,PercentNonWhite,Recruitment,Device_Type,Device_Brand,Device_Model,Device_Location,Device_side,Sampling_Rate_Hz,Raw_Epoch,Sleep_Epoch_Secs,Wake_Epoch_Secs,Wear_Days_Instructed,Day_Cycle_Definition,Excluded_Transition_Days,Wear_Time_Per_Day_Mean,Valid_Days_Required,Valid_Hours_Per_Day,Valid_SB_Max_per_Day,Valid_sleep_min_per_day,Weekend_Day_Required,Weighting_Scheme,NonWear_Criterion,NonWear_Handling,WakeTime_Objective_Yes_No,IfWakeSubjective_questionnaire_used,Sleep_Objective_Yes_No,SleepSubjective_questionnaire_used,Sleep_Measurement_Type,Sleep_Detection_Method,Cutpoints_Used_YesorNo,Cutpoint_Type,SB_Threshold,LPA_Threshold,MVPA_Threshold,Extra_behav_Threshold,Extra_Behav_Name,CoDA_Models_Amount,CODA_Parts_Number,CODA_Parts,CoDA_Additional_Parts_Number,CoDA_Additional_Parts_Number2,Zero_Handling_Reported_Yes_No,Zero_Handling_Method,Zero_Replacement_Value_in_secs,ILR_Transformation_Type,Transformation_Details,CoDA_Packages_Used,Data_Closure_24hr_Sum,Closure_Method,Subgroup,Subgroup_Sample_Size,Independent_Variable,Outcome_Variable,Covariates,Compositional_Isotemporal_Substitution_Applied_Yes_No,Time_Reallocation_Increment_minutes,Stratified_Analyses,Sensitivity_Analyses,Bootstrap,Main_Findings
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme9,1440,NR,USA,446,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme10,1440,NR,Brazil,435,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme11,1440,NR,Colombia,821,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme12,1440,NR,China,462,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme13,1440,NR,India,526,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme14,1440,NR,South Africa,387,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme15,1440,NR,Kenya,457,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Talarico, Janssen (2018) ",63,6,MEDLINE,2018,"Compositional associations of time spent in sleep, sedentary behavior and physical activity with obesity measures in children.","Primary data collection (Kingston, Canada)",NR,Canada,Cross-sectional,Children,434,11.7,NR,50.2,11.8,Community,Accelorometer,Philips Respironics,Actical,Hip,Right,NR,15,NR,NR,7,NR,NR,23.46,4,19,NR,NR,NR,NR,³60 min of 0 counts (allow 2 min <100 counts),Removed,Yes,,Yes,Sleep log 	,Objective + Subjective,Log-Based (Derived from Actical + sleep log verified visually against accelerometer data),Yes,"Puyau et al., 2002 (child calibration)",<100 counts / min,100Ð1499 counts / min,>1499 counts / min,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,Sequential binary partition; first ILR expresses one part vs geometric mean of remaining parts; 4 behaviors input _ 3 ILRs output; only first ILR interpreted; ILR2 & ILR3 used for regression, robCompositions,24,normalized to the proportion of the total time so that the total daily time was always 24 h.,,,24-hour time-use composition (ILR coordinates),"BMI z-score, waist circumference, log fat mass index",Age; sex; biological maturity; season of data collection; accelerometer wear time; frequency of snack food consumption in front of a screen,Yes,5Ð120 min modeled; main examples = ±30 min changes,None Ð interactions by sex and age tested but non-significant,No,No,
"Janurek, Abdel Hadi, Mojzisch (2018)",69,7,MEDLINE,2018,"The Association of the 24 Hour Distribution of Time Spent in Physical Activity, Work, and Sleep with Emotional Exhaustion.","Primary data collection (Justus-Liebig-University Giessen, Germany)",NR,Germany,cross-sectional multilevel,Adult,104,22.48,4.32,89,NR,School,Accelorometer,ActiGraph,ActiSleep+,Wrist,non-dominant,30,60,NR,NR,8,NR,Marginal days (first and last excluded),23.99,6,10,NR,NR,NR,NR,Choi algorithm,Excluded,Yes for MVPA; No for study time,"Participants answered the following two questions: ÒHow much time did you spend at university
attending lectures yesterday?Ó and ÒHow much time did you spend studying apart from attending
lecture yesterday (e.g., home exams, preparing for exams)?Ó. Participants indicated the respective
times in hours. Both values were summed up to build the factor Òstudy timeÓ.",Yes,,Objective only,	ActiLife 6 software,Yes,Freedson Cutpoints,,,³1952 counts per 60s (Freedson),Study time,"Self-report: ""How much time did you spend at university attending lectures yesterday?"" and ""How much time did you spend studying apart from attending lecture yesterday (e.g., home exams, preparing for exams)?""",1,3.0,Sleep; MVPA; study time.,,,No,NR,NR,ILR,NR,Physical Activity CoDa Regression Model (PACRM) developed by McGregor et al.,100,"These proportions of
time spent in sleep, MVPA, and study were then expressed as percentages of 24 h so that their sum
(+remaining, not-considered residual) equaled 100%.",,,24-hour time-use composition (ILR coordinates),Emotional exhaustion,Age; Gender,No,,No,No,No,
"Dumuid, Wake, Clifford (2019)",74,11,MEDLINE,2019,The Association of the Body Composition of Children with 24-Hour Activity Composition.,Longitudinal Study of Australian Children (LSAC) - Child Health CheckPoint,2015Ð2016,Australia,Cross-sectional,Children,971,11.9,0.4,50,NR,Community,Accelorometer,Activinsights Ltd,GENEActiv,wrist,Nondominant ,50,60,NR,NR,8,NR,NR,NR,4,10,1000,200,NR,5 weekday : 2 weekend,Visual inspection of accelerometer trace + diary bed/wake times + device removal card,Replaced sport nonwear with 50%MVPA/30%LPA/20%SB,Yes,,Yes,,Objective only,Visual interpretation + activity card (bedtime/wake time logs),Yes,"Phillips et al. 2013 cutpoints (adjusted for 50 Hz): 244, 878, 2175 g-min",244 g-min,878 g-min,2175 g-min,,,1,4.0,Sleep; SB; LPA; MVPA,,,,,,ILR,Pivot coordinates (4-part ILR),R Compositions package,24,"Average minutes spent in each intensity
band were weighted at 5:2 for weekday and weekend days,
and linearly adjusted to collectively sum to 24 hours.",,,24-hour time-use composition (ILR coordinates),Body composition,sex; age; pubertal status; socioeconomic position,Yes,15,Sex,Yes,Yes; 1000 for CI,
"Powell, Browne, Carson (2020)",72,12,MEDLINE,2020,Use of Compositional Data Analysis to Show Estimated Changes in Cardiometabolic Health by Reallocating Time to Light-Intensity Physical Activity in Older Adults.,Mitchelstown Cohort Rescreen Study,2015Ð2017 ,Ireland,Cross-sectional	,Older adults ,	366,64.6	,5.3,46,NR,Primary Care Clinic,Accelorometer,PAL Technologies,activPAL3 Micro,Thigh,Right,20,NR,NR,15,7,NR,NR,23.9 ± 0.4 ,4,10,NR,NR,1,NR,³60 minutes of consecutive zero counts + wear diary confirmation,Excluded from analysis; no imputation.,Yes,,Yes,,Objective only,Calculated: time between 0500 h and the first non-sedentary epoch + time between the last non-sedentary epoch and the following 0500 h time point,Yes for MVPA,activPAL count-to-activity threshold (validated),Posture-based (sitting/reclining detected by activPAL),"Derived:(24h _ SB _ standing _ MVPA)
(no fixed CPM threshold)",5123 counts per 15-second epoch (MVPA threshold),Postural function of the monitor (A position in which one has or is maintaining an upright position while supported by one's feet)8	,Standing,1,5.0,Sleep; SB; Standing; LIPA; MVPA,,,Yes,Replaced by very small values,NR,IlR,Default ilr transformation from the R package 'Compositions' was used.,"Compositions', 'robCompositions' and 'Imtest' R packages",1440,Calculated LIPA to ensure closure (LIPA = 24 h - [sedentary time + standing time + MVPA]),,,24-hour time-use composition (ILR coordinates),BMI; body fat; fat mass; triglycerides,Age; Sex; Disease status; Medication use; Diet; Smoking status; Alcohol consumption; Work status; Lipid markers; Glucose control markers; Fat mass,Yes,30,No,No,No,
"Gba, Dygr_n, _tefelov (2020)",90,13,MEDLINE,2019,How do short sleepers use extra waking hours? A compositional analysis of 24-h time-use patterns among children and adolescents.,NR,2018Ð2019,Czechia,Cross-sectional,Children; Adolescents,659,13.9,2.8,58,NR,School,Accelerometer,ActiGraph,GT9X Link / wGT3X-BT,wrist,Non-dominant,100,5,NR,NR,7,waking up to waking up next day,NR,NR,4,10,NR,NR,1,5:2 weighting,³60 min zero ENMO  detected using default setting in R package GGIR,Imputed using accelerometer data from the same time interval on the remaining days of the week	,Yes,,Yes,Sleep log (guided the sleep algorithm)	,Objective + Subjective,Sustained inactivity (GGIR) + sleep logs,Yes,ENMO mg thresholds,<36 mg,36Ð200 mg,³201 mg,,,2,4.0,Sleep; SB; LPA; MVPA,10,Sleep; SB sporadic; SB 1Ð9 min; SB 10Ð29 min; SB ³30 min; LPA sporadic; LPA 1Ð9 min; LPA ³10 min; MVPA sporadic; MVPA ³1 min,Yes,Bayesian multiplicative replacement of zero with small values,NR,ILR,Helmert coordinates,compositions; robCompositions; SPSS,1440,Weighted means then closed to 1440,Children,343,Sleep,Differences in waking behavior composition,Sex; BMI z-score; Region; Season; Sleep efficiency,No,,Age,No,No,
"Gba, Dygr_n, _tefelov (2020)",90,13,MEDLINE,2020,How do short sleepers use extra waking hours? A compositional analysis of 24-h time-use patterns among children and adolescents.,Primary data collection ,2018Ð2019,Czechia,Cross-sectional,Children; Adolescents,659,13.9,2.8,58,NR,School,Accelerometer,ActiGraph,GT9X Link / wGT3X-BT,wrist,Non-dominant,100,5,NR,NR,7,waking up to waking up next day,NR,NR,4,10,NR,NR,1,5:2 weighting,³60 min zero ENMO  detected using default setting in R package GGIR,Imputed using accelerometer data from the same time interval on the remaining days of the week	,Yes,,Yes,Sleep log (guided the sleep algorithm)	,Objective + Subjective,Sustained inactivity (GGIR) + sleep logs,Yes,ENMO mg thresholds,<36 mg,36Ð200 mg,³201 mg,,,2,4.0,Sleep; SB; LPA; MVPA,10,Sleep; SB sporadic; SB 1Ð9 min; SB 10Ð29 min; SB ³30 min; LPA sporadic; LPA 1Ð9 min; LPA ³10 min; MVPA sporadic; MVPA ³1 min,Yes,Bayesian multiplicative replacement of zero with small values,NR,ILR,Helmert coordinates,compositions; robCompositions; SPSS,1440,Weighted means then closed to 1440,Adolescents,316,Sleep,Differences in waking behavior composition,Sex; BMI z-score; Region; Season; Sleep efficiency,No,,Age,No,No,
"Dumuid, Simm, Wake (2020)",98,14,MEDLINE,2020,"The ""Goldilocks Day"" for Children's Skeletal Health: Compositional Data Analysis of 24-Hour Activity Behaviors.",LSAC CheckPoint,2015Ð2016,Australia,Cross-sectional,Children,804,11.9,0.4,50.4,NR,Community,Accelerometer,Activinsights,GENEActiv,wrist,Non-dominant,50,NR,60,60,8,NR,NR,23.9 h ± 0.4,4,10,1000,200,NR,,Visual inspection of accelerometer traces + self-reported logs,Sport-related nonwear replaced with 50% MVPA 30% LPA 20% SB; other nonwear treated as missing,Yes,,Yes,Sleep diary ,Objective + Subjective,Visual inspection of accelerometer traces plus paper sleep logs using COBRA MATLAB software,No,GENEActiv cut-points ,²244 gámin,>244 to <878 gámin,2175 gámin,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,Replaced with 65% of the smallest possible value (1 min/8 d).(44),4.7,ILR,Quadratic ILR terms; Helmert coordinates,Compositions; zCompositions; robustbase; rgl ,1440,Geometric means linearly rescaled to 1440 minutes,Complete Sample,,24-hour time-use composition (ILR coordinates),Skeletal outcomes (pQCT measures),Age; Sex; Pubertal status; Socioeconomic position; Body mass; Tibial length,No,,Sex,Puberty interaction tested,95% bootstrapped confidence interval for compositional center,
"Dumuid, Simm, Wake (2020)",98,14,MEDLINE,2020,"The ""Goldilocks Day"" for Children's Skeletal Health: Compositional Data Analysis of 24-Hour Activity Behaviors.",LSAC CheckPoint,2015Ð2016,Australia,Cross-sectional,Children,804,11.9,0.4,50.4,NR,Community,Accelerometer,Activinsights,GENEActiv,wrist,Non-dominant,50,NR,60,60,8,NR,NR,23.9 h ± 0.4,4,10,1000,200,NR,,Visual inspection of accelerometer traces + self-reported logs,Sport-related nonwear replaced with 50% MVPA 30% LPA 20% SB; other nonwear treated as missing,Yes,,Yes,Sleep diary ,Objective + Subjective,Visual inspection of accelerometer traces plus paper sleep logs using COBRA MATLAB software,No,GENEActiv cut-points ,²244 gámin,>244 to <878 gámin,2175 gámin,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,Replaced with 65% of the smallest possible value (1 min/8 d).(44),4.7,ILR,Quadratic ILR terms; Helmert coordinates,Compositions; zCompositions; robustbase; rgl ,1440,Geometric means linearly rescaled to 1440 minutes,Boys,399,24-hour time-use composition (ILR coordinates),Skeletal outcomes (pQCT measures),Age; Sex; Pubertal status; Socioeconomic position; Body mass; Tibial length,No,,Sex,Puberty interaction tested,95% bootstrapped confidence interval for compositional center,
"Dumuid, Simm, Wake (2020)",98,14,MEDLINE,2020,"The ""Goldilocks Day"" for Children's Skeletal Health: Compositional Data Analysis of 24-Hour Activity Behaviors.",LSAC CheckPoint,2015Ð2016,Australia,Cross-sectional,Children,804,11.9,0.4,50.4,NR,Community,Accelerometer,Activinsights,GENEActiv,wrist,Non-dominant,50,NR,60,60,8,NR,NR,23.9 h ± 0.4,4,10,1000,200,NR,,Visual inspection of accelerometer traces + self-reported logs,Sport-related nonwear replaced with 50% MVPA 30% LPA 20% SB; other nonwear treated as missing,Yes,,Yes,Sleep diary ,Objective + Subjective,Visual inspection of accelerometer traces plus paper sleep logs using COBRA MATLAB software,No,GENEActiv cut-points ,²244 gámin,>244 to <878 gámin,2175 gámin,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,Replaced with 65% of the smallest possible value (1 min/8 d).(44),4.7,ILR,Quadratic ILR terms; Helmert coordinates,Compositions; zCompositions; robustbase; rgl ,1440,Geometric means linearly rescaled to 1440 minutes,Girls,405,24-hour time-use composition (ILR coordinates),Skeletal outcomes (pQCT measures),Age; Sex; Pubertal status; Socioeconomic position; Body mass; Tibial length,No,,Sex,Puberty interaction tested,95% bootstrapped confidence interval for compositional center,
"Kitano, Kai, Jindo (2020)",247,15,MEDLINE,2020,Compositional data analysis of 24-hour movement behaviors and mental health in workers.,Meiji Yasuda LifeStyle (MYLS) study,2017-2018,Japan,Cross-sectional,Adults,1095,50.2,9.5,68.6,NR,Work,Accelerometer,Omron,Active style Pro HJA750-C,Hip,NR,NR,60,NR,NR,10,NR,NR,NR,3,10,NR,NR,1,No; Separate analysis,20 consecutive min < detection limit,Non-wear removed; not included in behavior totals,Yes,,No,Sleep self-report question,Subjective only,"ÒIn a typical workday/non-workday, how many hours do you usually sleep, excluding napping?Ó",Yes,MET thresholds from Haskell et al. (2007);  Pate et al. (2008),²1.5 METs,1.6Ð2.9 METs,³3.0 METs,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,NR,NR,ILR,Pivot coordinates; 3 ilrs,compositions; robCompositions,24,Remaining time allocated proportionally across SB; LPA; MVPA,Workday,1095,24-hour time-use composition (ILR coordinates),Psychological distress (high vs low K6),Age; Sex; BMI; Education; Economic status; Marital status; Smoking; Alcohol; Hiring status; Job type; Overtime hours,Yes,10; 20; 30; 40; 50; 60,Workday; Non-workday,No,No,
"Kitano, Kai, Jindo (2020)",247,15,MEDLINE,2020,Compositional data analysis of 24-hour movement behaviors and mental health in workers.,Meiji Yasuda LifeStyle (MYLS) study,2017-2018,Japan,Cross-sectional ,Adults,1095,50.2,9.5,68.6,NR,Work,Accelerometer,Omron,Active style Pro HJA750-C,Hip,NR,NR,60,NR,NR,10,NR,NR,NR,3,10,NR,NR,1,No; Separate analysis,21 consecutive min < detection limit,Non-wear removed; not included in behavior totals,Yes,,No,Sleep self-report question,Subjective only,"ÒIn a typical workday/non-workday, how many hours do you usually sleep, excluding napping?Ó",Yes,MET thresholds from Haskell et al. (2007);  Pate et al. (2008),²1.5 METs,1.6Ð2.9 METs,³3.0 METs,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,Pivot coordinates; 3 ilrs,compositions; robCompositions,24,"Sleep from self-report subtracted from 24 h; remaining time proportionally redistributed across SB, LPA, and MVPA based on their observed ratios; composition closed to 24hr",Non-workday,1095,24-hour time-use composition (ILR coordinates),Psychological distress (high vs low K6),Age; Sex; BMI; Education; Economic status; Marital status; Smoking; Alcohol; Hiring status; Job type; Overtime hours,Yes,10; 20; 30; 40; 50; 60,Workday; Non-workday,No,No,
"Del Pozo Cruz, Alfonso-Rosa, McGregor (2020)",263,16,MEDLINE,2020,Sedentary behaviour is associated with depression symptoms: Compositional data analysis from a representative sample of 3233 US adults and older adults assessed with accelerometers.,National Health and Nutrition Examination Survey (NHANES),2005Ð2006,USA,Cross-sectional,Adults; Older Adults,3233,47.43,19.45,52.1,NR,Community,Accelerometer,ActiGraph,AM-7164,Hip,Right,NR,60,NR,NR,7,NR,NR,NR,4,8,NR,NR,NR,,NR,NR,Yes,,No,Validated Sleep Disorder Questionnaire (SDQ),Subjective only,Self-reported duration (h/day),Yes,Standard CPM thresholds,<100 cpm,100Ð2019 cpm,³2020 cpm,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,Log-ratio Expectation-Maximisation algorithm,NR,ILR,1st ILR = SB vs GM of LIPA+MVPA+Sleep,compositions; zCompositions,1440,Normalized geometric means to 1440 min,,,Sedentary behaviour (ILR1),PHQ-9 depression score,Age; Sex; Ethnicity; Marital status; Income; Chronic disease; Smoking; BMI,Yes,0Ð60,,No,No,More sedentary time increased depression symptoms. Replacing SB with MVPA or sleep reduced PHQ-9 scores; replacing SB with LIPA had no effect.
"Larisch, Kallings, Hagstrmer (2020)",295,17,MEDLINE,2020,Associations between 24 h Movement Behavior and Mental Health in Office Workers.,"Data from two different projects from the ""Physical activity and healthy brain functions"" research project",2016Ð2018,Sweden,Cross-sectional,Adults,662,41,9,68,NR,Workplace,Accelerometer,ActiGraph,GT3X,Hip (wake time); wrist (sleep),Right (wake time); Left (sleep),30,60,NR,NR,7,"Wake time = diary-reported start/end of being awake; if missing, assumed 06:00Ð23:00",NR,22.71,4,10,NR,NR,No,,³60 min zero counts; max 2 min of non-zero,NR,Yes,NR,No,Diary,Subjective only,Participants were asked to document the time when they started to try to fall asleep and out-of-bed times,Yes,Adult custom cpm,1Ð200,200Ð2689,³2690,NR,NR,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,Sequential binary partition; first ILR = each behavior vs geometric mean of others,Compositions,1440,Geometric mean rescaled to 1440,Depression,349,24-hour time-use composition (ILR coordinates),Depression symptoms; anxiety symptoms; burnout; mental wellbeing; stress,Age;sex;education;fitness;sleep efficiency,Yes,1-60,No,Sensitivity model treating stress categorically,No,"No significant associations between the 24-h movement composition and any mental health outcomes; MVPA showed a small positive association with mental wellbeing in adjusted models, but this effect disappeared after adjusting for fitness and sleep efficiency."
"Larisch, Kallings, Hagstrmer (2020)",295,17,MEDLINE,2020,Associations between 24 h Movement Behavior and Mental Health in Office Workers.,"Data from two different projects from the ""Physical activity and healthy brain functions"" research project",2016Ð2018,Sweden,Cross-sectional,Adults,662,41,9,68,NR,Workplace,Accelerometer,ActiGraph,GT3X,Hip (wake time); wrist (sleep),Right (wake time); Left (sleep),30,60,NR,NR,7,"Wake time = diary-reported start/end of being awake; if missing, assumed 06:00Ð23:00",NR,22.71,4,10,NR,NR,No,,³60 min zero counts; max 2 min of non-zero,NR,Yes,NR,No,Diary,Subjective only,Participants were asked to document the time when they started to try to fall asleep and out-of-bed times,Yes,Adult custom cpm,1Ð200,200Ð2689,³2690,NR,NR,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,Sequential binary partition; first ILR = each behavior vs geometric mean of others,Compositions,1440,Geometric mean rescaled to 1440,Anxiety,348,24-hour time-use composition (ILR coordinates),Depression symptoms; anxiety symptoms; burnout; mental wellbeing; stress,Age;sex;education;fitness;sleep efficiency,Yes,1-60,No,Sensitivity model treating stress categorically,No,"No significant associations between the 24-h movement composition and any mental health outcomes; MVPA showed a small positive association with mental wellbeing in adjusted models, but this effect disappeared after adjusting for fitness and sleep efficiency."
