StudyID,MasterListNumber,FullTextExtraction_Number,longDBName,Year,title,Data Source,Year_Data,Country,Design,Age_Group,SampleSize,AgeMean,AgeSD,PercentFemale,PercentNonWhite,Recruitment,Device_Type,Device_Brand,Device_Model,Device_Location,Device_side,Sampling_Rate_Hz,Raw_Epoch,Sleep_Epoch_Secs,Wake_Epoch_Secs,Wear_Days_Instructed,Day_Cycle_Definition,Excluded_Transition_Days,Wear_Time_Per_Day_Mean,Valid_Days_Required,Valid_Hours_Per_Day,Valid_SB_Max_per_Day,Valid_sleep_min_per_day,Weekend_Day_Required,Weighting_Scheme,NonWear_Criterion,NonWear_Handling,WakeTime_Objective_Yes_No,IfWakeSubjective_questionnaire_used,Sleep_Objective_Yes_No,SleepSubjective_questionnaire_used,Sleep_Measurement_Type,Sleep_Detection_Method,Cutpoints_Used_YesorNo,Cutpoint_Type,SB_Threshold,LPA_Threshold,MVPA_Threshold,Extra_behav_Threshold,Extra_Behav_Name,CoDA_Models_Amount,CODA_Parts_Number,CODA_Parts,CoDA_Additional_Parts_Number,CoDA_Additional_Parts_Number2,Zero_Handling_Reported_Yes_No,Zero_Handling_Method,Zero_Replacement_Value_in_secs,ILR_Transformation_Type,Transformation_Details,CoDA_Packages_Used,Data_Closure_24hr_Sum,Closure_Method,Subgroup,Subgroup_Sample_Size,Independent_Variable,Outcome_Variable,Covariates,Compositional_Isotemporal_Substitution_Applied_Yes_No,Time_Reallocation_Increment_minutes,Stratified_Analyses,Sensitivity_Analyses,Bootstrap,Main_Findings
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Overweight boys,158,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Obese boys,79,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Normal weight girls,672,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Overweight girls,207,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Obese girls,78,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme4,1440,NR,Australia,435,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme5,1440,NR,England,376,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme6,1440,NR,Canada,500,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme7,1440,NR,Finland,433,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
"Dumuid, Maher, Lewis (2018)",51,5,Psychology and Behavioral Sciences Collection,2018,"Human development index, children's health-related quality of life and movement behaviors: a compositional data analysis.","International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Cross-sectional,Children,5855,NR,NR,NR,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,80,1,60,15,7,NR,NR,22.8,4,10,NR,160 for 3 nights,1,5 weekday : 2 weekend,NR,NR,Yes,,Yes,,Objective only,"Barreira et al, 2014 Sleep detection Algorithm",Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,Yes,checked for zeros; none were present; thus no handling done,,ILR,"First ILR coordinate: Numerator = MVPA; Denominator = geometric mean of Sleep, SB, LPA",Compositions; robCompositions; lme8,1440,NR,Portugal,577,24-hour time-use composition (ILR coordinates),Health-related quality of life (HRQoL) (KIDSCREEN-10 score),Parental education; Number of siblings; Number of parents in the home; Child sex; BMI z-score,Yes,15,country HDI,No,No,
