StudyID,StudyID_display,Year,Age_Group,Subgroup,Device_Brand,Device_Type,Country,Sampling_Rate_Hz,Sleep_Measurement_Type,Behavior,Mean_Type,Minutes
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Normal weight,ActiGraph,Accelorometer,England,30,Objective only,SB,Arithmetic,
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Normal weight,ActiGraph,Accelorometer,England,30,Objective only,SB,Geometric,509.3
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Normal weight,ActiGraph,Accelorometer,England,30,Objective only,LPA,Arithmetic,
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Normal weight,ActiGraph,Accelorometer,England,30,Objective only,LPA,Geometric,356.2
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Normal weight,ActiGraph,Accelorometer,England,30,Objective only,MVPA,Arithmetic,
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Normal weight,ActiGraph,Accelorometer,England,30,Objective only,MVPA,Geometric,28.9
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,Sleep,Arithmetic,
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,Sleep,Geometric,557.1
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,SB,Arithmetic,
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,SB,Geometric,520.9
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,LPA,Arithmetic,
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,LPA,Geometric,343.9
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,MVPA,Arithmetic,
"Fairclough, Dumuid, Taylor (2017)","Fairclough, Dumuid, Taylor (2017)",2017,Children,Overweight/obese,ActiGraph,Accelorometer,England,30,Objective only,MVPA,Geometric,18.1
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,558.0
